"","expr","time"
"549","UPbrewer",18926500
"550","UPsampford_edited",222438501
"551","UPbrewer",29921100
"552","UPsampford_edited",191678702
"553","UPbrewer",17818900
"554","UPsampford_edited",209649602
"555","UPmidzuno",65815901
"556","UPsampford_edited",201014000
"557","UPbrewer",27343200
"558","UPbrewer",22845901
"559","UPsampford_edited",229245201
"560","UPsampford_edited",150390001
"561","UPmidzuno",63992102
"562","UPmidzuno",63842801
"563","UPtille",825350600
"564","UPbrewer",27479801
"565","UPsampford_edited",204734802
"566","UPmidzuno",67989602
"567","UPbrewer",19173201
"568","UPtille",827661402
"569","UPmidzuno",62181900
"570","UPbrewer",17681701
"571","UPbrewer",36345202
"572","UPmidzuno",75055501
"573","UPsampford_edited",211692601
"574","UPbrewer",18115001
"575","UPtille",836715401
"576","UPbrewer",18141801
"577","UPmidzuno",221781501
"578","UPmidzuno",65898000
"579","UPtille",790079701
"580","UPmidzuno",62341001
"581","UPmidzuno",61500501
"582","UPbrewer",27376001
"583","UPmidzuno",64725301
"584","UPsampford_edited",199818801
"585","UPtille",835901300
"586","UPmidzuno",64907301
"587","UPmidzuno",63730001
"588","UPbrewer",27523701
"589","UPsampford_edited",227485901
"590","UPsampford_edited",204472101
"591","UPmidzuno",67821401
"592","UPtille",812395501
"593","UPmidzuno",64583502
"594","UPbrewer",28752301
"595","UPtille",1011983201
"596","UPbrewer",23541001
"597","UPtille",996768402
"598","UPmidzuno",75630801
"599","UPbrewer",19419601
"600","UPmidzuno",64351701
"601","UPtille",794600301
"602","UPtille",774093501
"603","UPmidzuno",86401300
"604","UPbrewer",24528801
"605","UPtille",866812401
"606","UPbrewer",30481201
"607","UPsampford_edited",244071202
"608","UPmidzuno",78585502
"609","UPbrewer",21632701
"610","UPbrewer",47804401
"611","UPsampford_edited",202966101
"612","UPsampford_edited",261085301
"613","UPsampford_edited",245404101
"614","UPbrewer",35085501
"615","UPsampford_edited",11881301
"616","UPtille",1161507502
"617","UPbrewer",25232300
"618","UPtille",920801001
"619","UPtille",841136801
"620","UPsampford_edited",237348501
"621","UPsampford_edited",51430500
"622","UPmidzuno",66767301
"623","UPbrewer",19550701
"624","UPsampford_edited",252261301
"625","UPbrewer",31376101
"626","UPtille",882830800
"627","UPtille",847053301
"628","UPbrewer",32430701
"629","UPtille",1033922201
"630","UPbrewer",114703401
"631","UPtille",804075302
"632","UPsampford_edited",225213401
"633","UPsampford_edited",42919901
"634","UPtille",809452200
"635","UPbrewer",19400600
"636","UPsampford_edited",230538000
"637","UPbrewer",28115902
"638","UPmidzuno",65985801
"639","UPbrewer",29918502
"640","UPbrewer",19032401
"641","UPsampford_edited",218271202
"642","UPsampford_edited",213255101
"643","UPtille",830243302
"644","UPmidzuno",65771001
"645","UPtille",934855201
"646","UPsampford_edited",220709901
"647","UPtille",995980801
"648","UPtille",836843601
"649","UPbrewer",34212601
"650","UPsampford_edited",248476401
"651","UPbrewer",41943401
"652","UPtille",767806700
"653","UPbrewer",27216801
"654","UPsampford_edited",226871401
"655","UPsampford_edited",245874000
"656","UPsampford_edited",208833901
"657","UPtille",825447802
"658","UPtille",835454601
"659","UPtille",1026814202
"660","UPbrewer",17912901
"661","UPtille",776761802
"662","UPbrewer",31774101
"663","UPmidzuno",61083000
"664","UPsampford_edited",229092202
"665","UPsampford_edited",221671901
"666","UPtille",824418800
"667","UPmidzuno",63536301
"668","UPsampford_edited",182914901
"669","UPmidzuno",68448700
"670","UPbrewer",28792101
"671","UPbrewer",18927801
"672","UPsampford_edited",213726801
"673","UPsampford_edited",207667301
"674","UPbrewer",30106501
"675","UPsampford_edited",225534702
"676","UPtille",808295901
"677","UPsampford_edited",223444200
"678","UPtille",803886001
"679","UPsampford_edited",389321501
"680","UPmidzuno",77147602
"681","UPbrewer",19191200
"682","UPtille",824217801
"683","UPbrewer",32706201
"684","UPsampford_edited",201904801
"685","UPbrewer",17810701
"686","UPmidzuno",65617901
"687","UPsampford_edited",207741902
"688","UPmidzuno",65795601
"689","UPmidzuno",66642901
"690","UPbrewer",26875202
"691","UPtille",824398400
"692","UPtille",818520101
"693","UPbrewer",29010001
"694","UPsampford_edited",210069400
"695","UPbrewer",17796201
"696","UPmidzuno",66857701
"697","UPmidzuno",63613601
"698","UPmidzuno",63120702
"699","UPbrewer",27315001
"700","UPmidzuno",67176701
"701","UPmidzuno",63920500
"702","UPsampford_edited",224921501
"703","UPmidzuno",66478001
"704","UPbrewer",26741602
"705","UPbrewer",18574202
"706","UPsampford_edited",215278800
"707","UPsampford_edited",205041801
"708","UPbrewer",28684402
"709","UPsampford_edited",207611902
"710","UPsampford_edited",226726901
"711","UPmidzuno",65554102
"712","UPtille",969331801
"713","UPmidzuno",62949501
"714","UPsampford_edited",21218401
"715","UPtille",771479501
"716","UPmidzuno",85515902
